,공원명,공원구분,소재지지번주소,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),관리기관명
17157,샘터공원,어린이공원,경기도 성남시 분당구 구미동 87,야외운동기구+다목적운동장,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17158,푸름샘 소공원(소1-1),소공원,,,,앉음벽,,실개천,세종특별자치시 공원관리사업소
17159,솔숲 소공원(소1-2),소공원,,,조합놀이대+ 그네+ 시소+ 흔들놀이,의자+ 파고라,,안내판,세종특별자치시 공원관리사업소
17160,마디꽃 수변공원(수1-1),수변공원,,,,정자+ 의자,,,세종특별자치시 공원관리사업소
17161,꽃 수변공원(수2-3),수변공원,,배드민터장+ 운동기구3종,,자전거보관대+ 평의자+ 안내판,,,세종특별자치시 공원관리사업소
17162,여울목 수변공원(수2-4),수변공원,,운동기구 9종,자전거보관대+ 아내판+ 정자+ 탁자+ 파고라+ 의자,,전망대,,세종특별자치시 공원관리사업소
17163,백제고분 공원(역2-2),역사공원,,,,의자,,전시보호시설,세종특별자치시 공원관리사업소
17164,어서각 공원(역1-2),역사공원,,,,등의자+ 앉음벽,어서각+ 어서조형물,안내판,세종특별자치시 공원관리사업소
17165,초려 공원(역1-2),역사공원,,,,앉음벽,서원,안내판,세종특별자치시 공원관리사업소
17166,문화공원(문화1-1),문화공원,,,,의자+ 사각테이블,,계류,세종특별자치시 공원관리사업소
17167,누리빛 문화공원(문화1-2),문화공원,,,,쉼터,야외무대,광장,세종특별자치시 공원관리사업소
17168,문화공원(문화1-3),문화공원,,,조합놀이대,의자+ 파고라,,,세종특별자치시 공원관리사업소
17169,호수공원(문화S-1),문화공원,,운동기구 16종,전통그네+ 물놀이기구+ 물놀이섬+ 분수,관리센터+ 화장실+ 매점+ 주차장+ 샤워실,수상무대섬,중앙광장+ 수질정화시설,세종특별자치시 공원관리사업소
17170,남산근린공원,근린공원,강원도 강릉시 노암동 643 일원,,,,,,강원도 강릉시청
17171,교동1근린공원,근린공원,강원도 강릉시 교동 산 153-3 일원,,,,,,강원도 강릉시청
17172,조암구석기공원,근린공원,대구광역시 달서구 월성동 739,,,화장실,,,대구광역시 달서구청
17173,학산공원,근린공원,대구광역시 달서구 월성동 산10-1,골프연습장+다목적운동장+정구장,,화장실,,,대구광역시 달서구청
17174,한샘청동공원,근린공원,대구광역시 달서구 대천동 353-5,,,,,,대구광역시 달서구청
17175,호림공원,근린공원,대구광역시 달서구 호산동 714,축구장,,화장실,,,대구광역시 달서구청
17176,호림강나루공원,근린공원,대구광역시 달서구 대천동 900,농구장+배드민턴장+축구장,,화장실,,,대구광역시 달서구청
17177,호림강변공원,근린공원,대구광역시 달서구 대천동 900-2,,,,,,대구광역시 달서구청
17178,호산공원,근린공원,대구광역시 달서구 호산동 357-60,배드민턴장,,화장실,,,대구광역시 달서구청
17179,진남공원,소공원,대구광역시 달서구 대곡동 1049,,,,,,대구광역시 달서구청
17180,송정공원,소공원,대구광역시 달서구 대곡동 1111,,,,,,대구광역시 달서구청
17181,갈밭소공원,소공원,대구광역시 달서구 대곡동 1136,,,,,,대구광역시 달서구청
17182,도원어린이공원,소공원,대구광역시 달서구 도원동 1451,,조합놀이대,,,,대구광역시 달서구청
17183,소공원,소공원,대구광역시 달서구 진천동 482-57,,,,,,대구광역시 달서구청
17184,월곡근린공원,소공원,대구광역시 달서구 상인동 1530,,,,,,대구광역시 달서구청
17185,세모공원,소공원,대구광역시 달서구 유천동 598,,,,,,대구광역시 달서구청
17186,출판밸리소공원,소공원,대구광역시 달서구 월성동 1794-4,,,,,,대구광역시 달서구청
17187,월광수변공원,수변공원,대구광역시 달서구 도원동 898-1,게이트볼장+인라인스케이트장+다목적구장,조합놀이대+흔들놀이기구,화장실,,,대구광역시 달서구청
17188,도원근린공원,수변공원,대구광역시 달서구 도원동 1454,,,,,,대구광역시 달서구청
17189,출판밸리수변공원,수변공원,대구광역시 달서구 장기동 842,,,,,,대구광역시 달서구청
17190,가람공원,어린이공원,대구광역시 달서구 도원동 1439-3,,그네+미끄럼틀+흔들놀이기구+오르는기구,,,,대구광역시 달서구청
17191,갈뫼공원,어린이공원,대구광역시 달서구 신당동 1834-5,,그네+조합놀이대,화장실,,,대구광역시 달서구청
