업종명,사업장명,골프장면적,골프장홀수,정제도로명주소,정제지번주소,정제우편번호,정제WGS84경도,정제WGS84위도
비회원제,서원힐스,1275973,27,경기도 파주시 광탄면 서원길 333,경기도 파주시 광탄면 발랑리 123-1번지,10830,126.8960396511,37.8167937925
비회원제,J-PUBLIC,153671,6,경기도 파주시 조리읍 장곡로 100,경기도 파주시 조리읍 장곡리 47-1번지,10940,126.8446196107,37.7496868953
비회원제,베스트밸리,411962,9,경기도 파주시 광탄면 장지산로200번길 32-41,경기도 파주시 광탄면 분수리 1-1번지,10954,126.8847689683,37.7551579790
비회원제,노스팜,986314,18,경기도 파주시 광탄면 쇠장이길 265,경기도 파주시 광탄면 기산리 664-6번지,10953,126.9110085041,37.7888929825
비회원제,스마트KU골프파빌리온,1702445,27,경기도 파주시 법원읍 보광로 1616,경기도 파주시 법원읍 삼방리 521번지,10829,126.8712013091,37.8237390540
비회원제,레이크우드(비회원),350029,9,경기도 양주시 만송로 244,경기도 양주시 만송동 510-1번지,11494,127.0871260560,37.7847656490
비회원제,필로스,1519198,27,경기도 포천시 일동면 운악청계로 1507,경기도 포천시 일동면 기산리 산142-1번지,11119,127.3338699119,37.9332319168
비회원제,일동레이크(비회원),389684,9,경기도 포천시 일동면 화동로 738,경기도 포천시 일동면 유동리 산12-7번지,11122,127.3250098978,37.9264683398
회원제,몽베르,1492261,18,경기도 포천시 영북면 산정호수로 359-12,경기도 포천시 영북면 산정리 558-1번지,11103,127.3056775249,38.0733390604
비회원제,베어크리크,2252583,36,경기도 포천시 화현면 달인동로 35,경기도 포천시 화현면 지현리 산2-1번지,11124,127.2787621265,37.9017308724
비회원제,포천아도니스(비회원),318701,9,경기도 포천시 신북면 포천로 2499,경기도 포천시 신북면 고일리 산59번지,11136,127.1719993269,37.9708996171
비회원제,포천힐스,1484312,27,,경기도 포천시 화현면 명덕리 산115-1,11125,,
비회원제,포레스트힐,1457261,24,경기도 포천시 군내면 반월산성로375번길 34,경기도 포천시 군내면 상성북리 34-1번지,11152,127.2307144264,37.8864077354
비회원제,라싸,1494588,27,경기도 포천시 군내면 청군로 2856-93,경기도 포천시 군내면 직두리 산1-1번지,11155,127.2553052190,37.8714997288
회원제,크리스탈밸리,926085,18,경기도 가평군 상면 대보간선로 602-111,경기도 가평군 상면 항사리 31번지,12445,127.3872699728,37.7941598866
회원제,프리스틴밸리,1156465,18,경기도 가평군 설악면 유명로 1243-199,경기도 가평군 설악면 이천리 산2-12번지,12468,127.4496510445,37.6572726992
비회원제,썬힐(비회원),755324,18,경기도 가평군 조종면 운악청계로 809,경기도 가평군 조종면 운악리 산162-8번지,12432,127.3485479041,37.8785245634
회원제,마이다스밸리,1078729,18,경기도 가평군 설악면 다락재로 73-111,경기도 가평군 설악면 이천리 240번지,12459,127.4586935099,37.6657668527
비회원제,리앤리,1372780,27,경기도 가평군 조종면 운악청계로 702-24,경기도 가평군 조종면 운악리 산90번지,12432,127.3776890233,37.8872650750
비회원제,자유로,1385761,27,경기도 연천군 백학면 노아로297번길 179-55,경기도 연천군 백학면 학곡리 98번지,11049,126.9509236305,38.0024765420

